sample,number_reads,min_length,max_length
PRJNA673096/SRR13367069/SRR13367069,558024,35,151
PRJNA673096/SRR13367070/SRR13367070,130371,35,151
PRJNA673096/SRR13367071/SRR13367071,222883,35,151
PRJNA673096/SRR13367072/SRR13367072,260416,35,151
PRJNA673096/SRR13367073/SRR13367073,253146,35,151
PRJNA673096/SRR13367074/SRR13367074,291111,35,151
PRJNA673096/SRR13367075/SRR13367075,235695,35,151
PRJNA673096/SRR13367076/SRR13367076,265983,35,151
PRJNA673096/SRR13367077/SRR13367077,268549,35,151
PRJNA673096/SRR13367078/SRR13367078,657468,35,151
PRJNA673096/SRR13367079/SRR13367079,373059,35,151
PRJNA673096/SRR13367080/SRR13367080,209833,35,151
PRJNA673096/SRR13367081/SRR13367081,349739,35,151
PRJNA673096/SRR13367082/SRR13367082,485235,35,151
PRJNA673096/SRR13367083/SRR13367083,337958,35,151
PRJNA673096/SRR13367084/SRR13367084,326266,35,151
PRJNA673096/SRR13367085/SRR13367085,469980,35,151
PRJNA673096/SRR13367086/SRR13367086,250515,35,151
PRJNA673096/SRR13367087/SRR13367087,326884,35,151
PRJNA673096/SRR13367088/SRR13367088,334911,35,151
PRJNA673096/SRR13367089/SRR13367089,363783,35,151
PRJNA673096/SRR13367090/SRR13367090,270120,35,151
PRJNA673096/SRR13367091/SRR13367091,382411,35,151
PRJNA673096/SRR13367092/SRR13367092,401866,35,151
PRJNA673096/SRR13367093/SRR13367093,309273,35,151
PRJNA673096/SRR13367094/SRR13367094,301325,35,151
PRJNA673096/SRR13367095/SRR13367095,526840,35,151
PRJNA673096/SRR13367096/SRR13367096,353867,35,151
PRJNA673096/SRR13367097/SRR13367097,307579,35,151
PRJNA673096/SRR13367098/SRR13367098,385230,35,151
PRJNA673096/SRR13367099/SRR13367099,366538,35,151
PRJNA673096/SRR13495725/SRR13495725,582090,35,151
PRJNA673096/SRR13495726/SRR13495726,400818,35,151
PRJNA673096/SRR13495727/SRR13495727,563608,35,151
PRJNA673096/SRR13495728/SRR13495728,496457,35,151
PRJNA673096/SRR13495729/SRR13495729,466162,35,151
PRJNA673096/SRR13495730/SRR13495730,517095,35,151
PRJNA673096/SRR13495731/SRR13495731,549888,35,151
PRJNA673096/SRR13495732/SRR13495732,474962,35,151
PRJNA673096/SRR13495733/SRR13495733,461996,35,151
PRJNA673096/SRR13495734/SRR13495734,473707,35,151
PRJNA673096/SRR13495735/SRR13495735,432558,35,151
PRJNA673096/SRR13495736/SRR13495736,411841,35,151
PRJNA673096/SRR13495737/SRR13495737,466283,35,151
PRJNA673096/SRR13495738/SRR13495738,442490,35,151
PRJNA673096/SRR13495739/SRR13495739,664692,35,151
PRJNA673096/SRR13495740/SRR13495740,357558,35,151
PRJNA673096/SRR13495741/SRR13495741,463463,35,151
PRJNA673096/SRR13495742/SRR13495742,578445,35,151
PRJNA673096/SRR13495743/SRR13495743,484160,35,151
PRJNA673096/SRR13495744/SRR13495744,534759,35,151
PRJNA673096/SRR13495745/SRR13495745,533345,35,151
PRJNA673096/SRR13495746/SRR13495746,449633,35,151
PRJNA673096/SRR13495747/SRR13495747,461825,35,151
